municipio,agencias_bancarias_2024,agua_rede_geral_1991,agua_rede_geral_2000,agua_rede_geral_2010,agua_rede_geral_2022,casas_lotericas_2024,densidade_1991,densidade_2000,densidade_2010,densidade_2022,emprego_formal_estoque_2020,emprego_formal_estoque_2021,emprego_formal_estoque_2022,emprego_formal_estoque_2023,esgoto_rede_geral_1991,esgoto_rede_geral_2000,esgoto_rede_geral_2010,esgoto_rede_geral_2022,estabelecimentos_hospital_2023,estabelecimentos_ubs_2023,focos_queimadas_2022,focos_queimadas_2023,fonte,fpm_2019,fpm_2020,fpm_2021,fpm_2022,fpm_2023,fundeb_2019,fundeb_2020,fundeb_2021,fundeb_2022,fundeb_2023,icms_2019,icms_2020,icms_2021,icms_2022,icms_2023,ideb_anos_finais_2013,ideb_anos_finais_2015,ideb_anos_finais_2017,ideb_anos_finais_2019,ideb_anos_finais_2021,ideb_anos_finais_2023,idhm_1991,idhm_2000,idhm_2010,idhm_educacao_1991,idhm_educacao_2000,idhm_educacao_2010,idhm_longevidade_1991,idhm_longevidade_2000,idhm_longevidade_2010,idhm_renda_1991,idhm_renda_2000,idhm_renda_2010,ipva_2019,ipva_2020,ipva_2021,ipva_2022,ipva_2023,itr_2019,itr_2020,itr_2021,itr_2022,itr_2023,lixo_coletado_1991,lixo_coletado_2000,lixo_coletado_2010,lixo_coletado_2022,pib_per_capita_2017,pib_per_capita_2018,pib_per_capita_2019,pib_per_capita_2020,pib_per_capita_2021,pib_total_2017,pib_total_2018,pib_total_2019,pib_total_2020,pib_total_2021,pop_1991,pop_2000,pop_2010,pop_2022,taxa_alfabetizacao_2000,taxa_alfabetizacao_2010,taxa_alfabetizacao_2022,taxa_urbanizacao_1991,taxa_urbanizacao_2000,taxa_urbanizacao_2010,taxa_urbanizacao_2022,transferencias_total_2019,transferencias_total_2020,transferencias_total_2021,transferencias_total_2022,transferencias_total_2023,vab_agropecuaria_2017,vab_agropecuaria_2018,vab_agropecuaria_2019,vab_agropecuaria_2020,vab_agropecuaria_2021,vab_industria_2017,vab_industria_2018,vab_industria_2019,vab_industria_2020,vab_industria_2021,vab_servicos_2017,vab_servicos_2018,vab_servicos_2019,vab_servicos_2020,vab_servicos_2021,versao_extrator
abreulandia,,3.0,247.0,433.0,544.0,,,,,,1.0,101.0,97.0,129.0,,,,,,1.0,,,SEPLAN-TO - Perfil Socioeconômico 2024 (8ª Edição),6047595.0,5784934.0,7694030.0,9710773.0,10048809.0,1689477.0,2038059.0,2595378.0,3387458.0,3512094.0,2087763.0,2608274.0,3648665.0,3906793.0,5247147.0,,,,,,,0.215,0.454,0.665,0.039,0.26,0.502,0.604,0.713,0.835,0.42,0.506,0.7,93304.0,90562.0,125457.0,140486.0,171678.0,86993.0,113927.0,131242.0,186924.0,185536.0,,,,,21967.55,20442.01,20923.8,29457.86,42979.98,56479.0,52413.0,53962.0,76414.0,112135.0,,,,,,,,,,,,7838843.0,7949325.0,10428775.0,13297750.0,13748957.0,26897.0,23789.0,24147.0,42752.0,74730.0,1467.0,1243.0,1748.0,2204.0,2743.0,17708.0,18413.0,19025.0,20880.0,23145.0,9.0
aguiarnopolis,,3.0,507.0,1145.0,1242.0,,,,,,1.0,1123.0,1296.0,1358.0,,,,,,2.0,,,SEPLAN-TO - Perfil Socioeconômico 2024 (8ª Edição),6047595.0,5784934.0,7694030.0,9710773.0,10048809.0,4055998.0,3793152.0,4627571.0,6427673.0,7206098.0,5697825.0,4118955.0,5933454.0,8008850.0,7769992.0,,,,,,,0.295,0.466,0.657,0.097,0.297,0.571,0.55,0.666,0.804,0.48,0.513,0.618,268146.0,260932.0,312204.0,326275.0,402685.0,21087.0,22269.0,12864.0,14060.0,16602.0,,,,,19665.35,19012.17,24197.62,23862.0,23475.65,127038.0,124948.0,162923.0,164457.0,165480.0,,,,,76.1,82.9,90.3,,,,,10145009.0,9617544.0,12345823.0,16170222.0,17275058.0,23251.0,8518.0,14217.0,16719.0,17292.0,5862.0,10096.0,18677.0,22948.0,21956.0,38065.0,41282.0,46059.0,46669.0,51231.0,9.0
alianca_do_tocantins,,3.0,672.0,1042.0,1248.0,,4.4,3.9,3.6,3.3,1.0,370.0,404.0,442.0,,,,,,2.0,,,SEPLAN-TO - Perfil Socioeconômico 2024 (8ª Edição),6047595.0,5784934.0,7694030.0,9710773.0,10048809.0,2830384.0,3212765.0,4612836.0,5149707.0,5247017.0,2222637.0,3623898.0,5299053.0,5992661.0,8481011.0,,,,,,,0.38,0.544,0.663,0.17,0.406,0.596,0.632,0.715,0.801,0.511,0.556,0.61,304022.0,305839.0,358640.0,409197.0,494647.0,217715.0,242747.0,262960.0,398172.0,505808.0,458.0,865.0,1362.0,1585.0,21010.66,19051.6,20298.43,28878.67,116268.4,116126.0,103526.0,109409.0,154385.0,616571.0,6883.0,6177.0,5671.0,5147.0,83.6,85.6,89.7,57.2,82.9,83.9,84.5,9114510.0,9256144.0,12580045.0,15274405.0,15804778.0,51617.0,24073.0,26734.0,39222.0,472909.0,4306.0,3976.0,6452.0,5678.0,6296.0,31946.0,34503.0,37427.0,38658.0,43473.0,9.0
almas,,3.0,170.0,1067.0,1479.0,,1.9,2.1,1.9,1.6,1.0,403.0,370.0,494.0,31.0,4.0,19.0,8.0,,1.0,,,SEPLAN-TO - Perfil Socioeconômico 2024 (8ª Edição),6047595.0,5784934.0,7694030.0,9710773.0,10048809.0,4792619.0,4908770.0,5770628.0,7564752.0,8209934.0,2806526.0,2803683.0,3766743.0,4260899.0,3892953.0,,,,,,,0.263,0.42,0.636,0.076,0.212,0.524,0.559,0.657,0.796,0.428,0.532,0.616,223233.0,232554.0,255075.0,386288.0,350050.0,111227.0,129285.0,162922.0,297308.0,231012.0,,,,,20813.37,21290.53,24369.55,25582.74,39643.82,151376.0,151823.0,171927.0,178542.0,273741.0,7652.0,8474.0,7586.0,6499.0,76.7,78.2,84.6,45.9,65.8,79.2,81.5,10972643.0,10840636.0,13639041.0,17590465.0,18493270.0,78463.0,79923.0,93434.0,97369.0,183498.0,7219.0,4165.0,4322.0,4530.0,6912.0,39748.0,43155.0,45597.0,48290.0,51963.0,9.0
alvorada,,3.0,549.0,1419.0,2485.0,,8.2,7.0,6.9,7.3,1.0,1141.0,1240.0,1451.0,,,,,1.0,5.0,,,SEPLAN-TO - Perfil Socioeconômico 2024 (8ª Edição),6047595.0,5784934.0,7694030.0,9710773.0,10048809.0,5914439.0,6630996.0,8160180.0,9229101.0,10710402.0,14522220.0,16029765.0,19791585.0,20427857.0,22167913.0,,,,,,,0.471,0.578,0.708,0.256,0.407,0.623,0.641,0.725,0.843,0.636,0.655,0.677,891293.0,992857.0,1187433.0,1507700.0,2152218.0,168154.0,237597.0,304644.0,337253.0,449715.0,642.0,1321.0,2349.0,2935.0,38947.52,35423.06,39841.69,48219.43,56569.78,331677.0,298510.0,335148.0,404850.0,474111.0,9868.0,8508.0,8374.0,8802.0,81.4,89.8,91.2,56.9,92.2,92.7,94.5,12153179.0,12672733.0,16171378.0,19296456.0,21212784.0,50989.0,61609.0,47865.0,97394.0,152194.0,96845.0,40099.0,45674.0,40286.0,42885.0,46752.0,50487.0,56779.0,60857.0,65048.0,9.0
ananas,,3.0,172.0,1671.0,2227.0,,7.5,6.6,6.3,6.5,1.0,437.0,457.0,457.0,,,,,1.0,3.0,,,SEPLAN-TO - Perfil Socioeconômico 2024 (8ª Edição),6047595.0,5784934.0,7694030.0,9710773.0,11785372.0,6315648.0,6574066.0,7413156.0,8592675.0,12146869.0,3408532.0,3305436.0,3765453.0,3958849.0,3965104.0,,,,,,,0.295,0.496,0.671,0.096,0.334,0.605,0.585,0.669,0.804,0.457,0.547,0.621,415161.0,413367.0,484244.0,551984.0,631744.0,82446.0,103671.0,104966.0,119683.0,132666.0,,,,,12810.92,13606.01,15548.98,14721.53,16933.69,124894.0,130713.0,148477.0,139737.0,159769.0,11851.0,10512.0,9865.0,10325.0,76.7,80.7,86.4,50.5,79.9,82.6,75.2,12470347.0,12483215.0,15225512.0,18443704.0,24069010.0,30399.0,29897.0,35099.0,28960.0,42527.0,3600.0,3661.0,4576.0,4313.0,4488.0,53349.0,58962.0,63996.0,64719.0,69558.0,9.0
angico,,3.0,478.0,637.0,714.0,,,,,,1.0,99.0,104.0,102.0,,,,,,2.0,,,SEPLAN-TO - Perfil Socioeconômico 2024 (8ª Edição),6047595.0,5784934.0,7694030.0,9710773.0,10048809.0,2289897.0,2204591.0,2657773.0,2832577.0,3372967.0,1441223.0,1670983.0,1478002.0,1873341.0,2121387.0,,,,,,,0.235,0.485,0.648,0.061,0.327,0.612,0.562,0.659,0.773,0.379,0.531,0.576,129300.0,102462.0,126439.0,140281.0,147737.0,31269.0,40382.0,53621.0,48162.0,52039.0,,,,,10365.3,10437.91,11503.46,12025.54,13892.42,35480.0,35666.0,39491.0,41536.0,48276.0,,,,,79.6,82.4,89.4,,,,,8384730.0,8043307.0,10414199.0,12605114.0,13476534.0,6619.0,5453.0,6157.0,7361.0,10234.0,1333.0,1089.0,1260.0,1565.0,1661.0,20773.0,22789.0,25195.0,25907.0,28758.0,9.0
aparecida_do_rio_negro,,3.0,94.0,558.0,949.0,,2.8,3.0,3.6,4.2,1.0,330.0,339.0,373.0,,,,,,1.0,,,SEPLAN-TO - Perfil Socioeconômico 2024 (8ª Edição),6047595.0,5784934.0,7694030.0,9710773.0,10048809.0,4170652.0,4467168.0,5508580.0,7137067.0,7375562.0,1861240.0,1951529.0,3553075.0,4484877.0,5049689.0,4.0,4.1,5.0,4.6,4.3,4.7,0.373,0.479,0.651,0.174,0.326,0.588,0.612,0.659,0.791,0.487,0.513,0.593,193358.0,219009.0,274288.0,360997.0,419185.0,94862.0,107172.0,77503.0,118832.0,181849.0,10.0,177.0,919.0,1303.0,19350.84,21585.46,26529.45,42998.68,52216.34,91452.0,102337.0,127209.0,208458.0,255912.0,3266.0,3517.0,4213.0,4856.0,80.7,85.1,89.0,62.2,73.6,78.6,73.7,10330917.0,10374245.0,13289939.0,16981922.0,17609271.0,40163.0,47620.0,56742.0,126169.0,161633.0,3405.0,3135.0,3756.0,4973.0,6608.0,29952.0,32501.0,34355.0,37022.0,41229.0,9.0
aragominas,,3.0,536.0,781.0,1006.0,,,,,,1.0,172.0,165.0,186.0,,,,,,3.0,,,SEPLAN-TO - Perfil Socioeconômico 2024 (8ª Edição),6047595.0,5784934.0,7694030.0,9710773.0,10048809.0,3084428.0,2962739.0,3691932.0,4788547.0,5162477.0,1749451.0,1901151.0,2332053.0,2063605.0,2630866.0,,,,,,,0.32,0.402,0.593,0.115,0.21,0.461,0.604,0.667,0.739,0.47,0.463,0.611,141549.0,155734.0,181004.0,203542.0,254818.0,43205.0,50368.0,75786.0,112717.0,129006.0,,,,,10783.07,10923.95,11792.17,13641.02,17255.24,63243.0,63206.0,67899.0,78177.0,98441.0,,,,,69.7,76.2,82.8,,,,,9194530.0,8814162.0,11472255.0,14628253.0,15343529.0,18248.0,18009.0,18964.0,25583.0,43334.0,1371.0,1213.0,1777.0,1556.0,1784.0,33766.0,35447.0,38261.0,41152.0,42908.0,9.0
araguacema,,3.0,218.0,749.0,1113.0,,2.3,2.0,2.3,2.1,1.0,380.0,370.0,415.0,31.0,2.0,2.0,17.0,1.0,2.0,,,SEPLAN-TO - Perfil Socioeconômico 2024 (8ª Edição),6047595.0,5784934.0,7694030.0,9710773.0,10048809.0,4965746.0,5368849.0,6122057.0,6867849.0,7351692.0,2156778.0,2334249.0,3861271.0,5266085.0,6860972.0,,,,,,,0.32,0.477,0.639,0.104,0.282,0.553,0.628,0.684,0.805,0.502,0.561,0.587,146574.0,146968.0,181875.0,216784.0,282519.0,246845.0,339935.0,232229.0,261470.0,326731.0,297.0,463.0,839.0,1414.0,19011.53,18025.96,20262.12,36138.36,33261.2,133138.0,126470.0,143577.0,258570.0,240246.0,6394.0,5414.0,6317.0,5927.0,78.4,83.6,87.4,46.2,56.0,46.3,47.6,11281170.0,11511351.0,14059886.0,16858043.0,17730821.0,64055.0,53912.0,60671.0,162374.0,148350.0,3540.0,3226.0,4436.0,7158.0,6923.0,40481.0,44938.0,49305.0,50488.0,54963.0,9.0
