municipio,pop_2022,area_km2,densidade,pop_2025_est,pib_pc,idhm,escol,mort_inf,obs
Araguatins,31719,2625.00,12.08,33286,14500,0.63,nd,nd,"Maior município; 9.238 hab rural (29.1%); polo econômico regional"
Tocantinópolis,23847,1077.07,22.13,23225,nd,nd,nd,nd,"Polo histórico-administrativo; missões jesuítas desde 1818; sede regional órgãos estaduais; declínio populacional -0.87% aa"
Augustinópolis,17471,nd,nd,18237,nd,nd,nd,nd,"3ª maior cidade; portão de entrada do extremo norte; crescimento +1.45% aa"
São Miguel do Tocantins,14103,398.82,35.36,14116,20600,nd,nd,nd,"Agropecuária 50.8% PIB; maior densidade demográfica (35.36 hab/km²); crescimento baixo +0.03% aa"
Sítio Novo do Tocantins,10830,324.11,33.41,nd,14800,nd,nd,nd,"Admin pública 56.4% PIB; alta dependência setor público; densidade 33.41 hab/km²"
Buriti do Tocantins,10346,nd,nd,nd,nd,nd,nd,nd,[LACUNA] Dados socioeconômicos pendentes
Ananás,10368,nd,nd,nd,nd,nd,nd,nd,[LACUNA] Casa de Pedra (caverna); dados pendentes
Axixá do Tocantins,10267,nd,nd,nd,nd,nd,nd,nd,[LACUNA] Dados socioeconômicos pendentes
Praia Norte,8808,289.05,30.47,nd,nd,nd,nd,nd,"Praia São Francisco (Rio Tocantins); turismo; densidade 30.47 hab/km²"
Esperantina,7510,504.02,14.90,nd,nd,nd,nd,nd,"Confluência rios Araguaia-Tocantins; turismo; densidade 14.90 hab/km²"
Darcinópolis,6357,nd,nd,nd,nd,nd,nd,nd,[LACUNA] Dados socioeconômicos pendentes
São Bento do Tocantins,5387,1105.90,4.87,nd,nd,nd,nd,nd,"Cachoeira das Lajes; baixa densidade (4.87 hab/km²)"
Palmeiras do Tocantins,5359,747.90,7.17,nd,nd,nd,nd,nd,"Baixa densidade (7.17 hab/km²)"
Itaguatins,5187,739.85,7.01,nd,14200,nd,nd,nd,"Admin pública 55.8% PIB; Praias Tio Claro e Remanso dos Botos; Cachoeira Santo Antônio"
Aguiarnópolis,4787,nd,nd,nd,50300,nd,nd,nd,"[DESTAQUE] PIB per capita R$ 50.300 - mais alto da região (3.5x superior à média); necessita investigação específica"
Nazaré,4664,395.91,11.78,nd,nd,nd,nd,nd,"Densidade 11.78 hab/km²"
Sampaio,4203,222.29,18.91,nd,nd,nd,nd,nd,"Praia da Amizade; Balneário Tira Ressaca; densidade 18.91 hab/km²"
Riachinho,3962,517.48,7.66,nd,nd,nd,nd,nd,"Densidade 7.66 hab/km²"
Carrasco Bonito,3343,nd,nd,nd,nd,nd,nd,nd,[LACUNA] Dados socioeconômicos pendentes
Maurilândia do Tocantins,3234,738.10,4.38,nd,nd,nd,nd,nd,"Baixa densidade (4.38 hab/km²)"
Angico,3062,nd,nd,nd,nd,nd,nd,nd,[LACUNA] Dados socioeconômicos pendentes
Luzinópolis,2989,279.56,10.69,nd,nd,nd,nd,nd,"Densidade 10.69 hab/km²"
Santa Terezinha do Tocantins,2560,269.68,9.49,nd,nd,nd,nd,nd,"Cachoeiras; turismo comunitário; densidade 9.49 hab/km²"
Cachoeirinha,1964,nd,nd,1982,nd,nd,nd,nd,"Menor população da região; crescimento +0.30% aa"
São Sebastião do Tocantins,nd,nd,nd,nd,nd,nd,nd,nd,"[LACUNA CRÍTICA] Município identificado em fontes acadêmicas como tendo os piores indicadores da região - coleta urgente necessária"
