ROTULO_COLUNA;NOME_CURTO;DESCRICAO_COMPLETA;TIPO_DADO;UNIDADE;ANO_REFERENCIA;FONTE_PRIMARIA;FONTE_SECUNDARIA
NOME_MUNICIPIO;Nome do Município;Nome oficial do município conforme registro no IBGE;TEXT;texto;2024;IBGE;Divisão Territorial Brasileira
CODIGO_IBGE;Código IBGE;Código único de identificação do município no sistema IBGE (7 dígitos);CODE;código;2024;IBGE;Divisão Territorial Brasileira
AREA_KM2;Área Territorial;Área total do município em quilômetros quadrados;DECIMAL;km²;2022;IBGE;Áreas Territoriais
POPULACAO_1991;População 1991;População total residente recenseada no Censo Demográfico de 1991;INTEGER;habitantes;1991;IBGE;Censo Demográfico 1991
POPULACAO_2000;População 2000;População total residente recenseada no Censo Demográfico de 2000;INTEGER;habitantes;2000;IBGE;Censo Demográfico 2000
POPULACAO_2010;População 2010;População total residente recenseada no Censo Demográfico de 2010;INTEGER;habitantes;2010;IBGE;Censo Demográfico 2010
POPULACAO_2022;População 2022;População total estimada pelo IBGE para o ano de 2022;INTEGER;habitantes;2022;IBGE;Estimativas de População
POPULACAO_URBANA_2010;População Urbana 2010;Número de habitantes residindo em área urbana em 2010;INTEGER;habitantes;2010;IBGE;Censo Demográfico 2010
POPULACAO_RURAL_2010;População Rural 2010;Número de habitantes residindo em área rural em 2010;INTEGER;habitantes;2010;IBGE;Censo Demográfico 2010
DENSIDADE_DEMOGRAFICA_2010;Densidade 2010;Número de habitantes por quilômetro quadrado em 2010;DECIMAL;hab/km²;2010;IBGE;Censo Demográfico 2010
DENSIDADE_DEMOGRAFICA_2022;Densidade 2022;Número de habitantes por quilômetro quadrado em 2022;DECIMAL;hab/km²;2022;IBGE;Estimativas de População
RAZAO_DEPENDENCIA_2010;Razão Dependência 2010;Razão entre população dependente (0-14 e 65+) e população em idade ativa (15-64);DECIMAL;por 100;2010;IBGE;Censo Demográfico 2010
IDHM_1991;IDHM 1991;Índice de Desenvolvimento Humano Municipal em 1991 (0 a 1);DECIMAL;índice;1991;PNUD;Atlas do Desenvolvimento Humano
IDHM_2000;IDHM 2000;Índice de Desenvolvimento Humano Municipal em 2000 (0 a 1);DECIMAL;índice;2000;PNUD;Atlas do Desenvolvimento Humano
IDHM_2010;IDHM 2010;Índice de Desenvolvimento Humano Municipal em 2010 (0 a 1);DECIMAL;índice;2010;PNUD;Atlas do Desenvolvimento Humano
IDHM_RENDA_1991;IDHM Renda 1991;Componente renda do IDHM em 1991 (0 a 1);DECIMAL;índice;1991;PNUD;Atlas do Desenvolvimento Humano
IDHM_RENDA_2000;IDHM Renda 2000;Componente renda do IDHM em 2000 (0 a 1);DECIMAL;índice;2000;PNUD;Atlas do Desenvolvimento Humano
IDHM_RENDA_2010;IDHM Renda 2010;Componente renda do IDHM em 2010 (0 a 1);DECIMAL;índice;2010;PNUD;Atlas do Desenvolvimento Humano
IDHM_LONGEVIDADE_1991;IDHM Longevidade 1991;Componente longevidade do IDHM em 1991 (0 a 1);DECIMAL;índice;1991;PNUD;Atlas do Desenvolvimento Humano
IDHM_LONGEVIDADE_2000;IDHM Longevidade 2000;Componente longevidade do IDHM em 2000 (0 a 1);DECIMAL;índice;2000;PNUD;Atlas do Desenvolvimento Humano
IDHM_LONGEVIDADE_2010;IDHM Longevidade 2010;Componente longevidade do IDHM em 2010 (0 a 1);DECIMAL;índice;2010;PNUD;Atlas do Desenvolvimento Humano
